Day,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
2021-01-01,0.0,0.0,0.0,0.7852576997005051,0.8440347861028661
2021-01-02,0.005552459855686975,0.0030211480362537513,0.0058290663409934496,0.7798489115372579,0.8128075347593606
2021-01-03,0.010049867482045727,0.00805639476334341,0.010336018644048872,0.7787760940503329,0.8122071304361027
2021-01-04,0.014295533423658635,0.011077542799597162,0.015226720148793893,0.7676903133521075,0.7955170318127864
2021-01-05,0.019859307512367863,0.014098690835850913,0.020453552341150316,0.7720709847570514,0.7653401056343547
2021-01-06,0.025705937426634295,0.01812688821752262,0.026613147191628106,0.7659916856644763,0.7420149700587917
2021-01-07,0.03415766949428212,0.023162134944612278,0.036859530985647204,0.7358186938447095,0.7019613129738129
2021-01-08,0.042501916348218205,0.02618328298086603,0.04307234652833025,0.7684055250100575,0.6461081238342743
2021-01-09,0.05098193399842166,0.03121852970795569,0.049414012167930954,0.8009923561754057,0.6080849471925438
2021-01-10,0.05911686754144552,0.03726082578046319,0.056287884729582904,0.8195878592821063,0.5830488994382854
2021-01-11,0.06591672158783946,0.040281973816717054,0.06259593730042246,0.8262482678467659,0.5451767884341931
2021-01-12,0.07508973601065805,0.046324269889224556,0.06874432779464656,0.8728264270707612,0.5119574516364098
2021-01-13,0.0845993488658896,0.05236656596173217,0.07599354629079791,0.9071565866523624,0.4766180159725746
2021-01-14,0.09416553288623253,0.05538771399798592,0.08347525517921373,0.9388047025166509,0.41689470756026026
2021-01-15,0.10380243086296481,0.06243705941591138,0.09234910533215313,0.9491752715569263,0.3909008137080665
2021-01-16,0.11351004279608645,0.06948640483383683,0.10108290103192119,0.9628983952438425,0.36501897209350975
2021-01-17,0.12327705445257497,0.0745216515609265,0.11023686009120348,0.9709445263957802,0.32344336236315385
2021-01-18,0.13309498015766386,0.080563947633434,0.11861211639085278,0.9921773724911714,0.2904175768325459
2021-01-19,0.1429694770278641,0.08559919436052366,0.1278865222798624,0.9999999999999999,0.25008397768493396
2021-01-20,0.15288640227189798,0.09164149043303127,0.13837940191146325,0.9890036207590184,0.2181234806219976
2021-01-21,0.16286838435580997,0.09566968781470298,0.14930645034789525,0.9721961467971928,0.1714336737346951
2021-01-22,0.1729154232796002,0.10574018126888218,0.16035674670311817,0.9541817531625764,0.17009112467391052
2021-01-23,0.1830020620189683,0.11278952668680764,0.1717039584990645,0.9321889946806131,0.14647058839371319
2021-01-24,0.19312547201565888,0.121852970795569,0.18337329553730497,0.9055473604219747,0.1376783659947467
2021-01-25,0.20328282471141634,0.1278952668680765,0.19407345575959933,0.8950426891958337,0.10740783716760216
2021-01-26,0.21346846298972955,0.13494461228600196,0.20496969221633377,0.8818112735237583,0.08476284922266508
2021-01-27,0.22461015395842587,0.14098690835850958,0.21767543220804253,0.8548567341647667,0.049095477068069826
2021-01-28,0.23582821600002268,0.149043303121853,0.22690221958297385,0.8845380179696928,0.027613163511126082
2021-01-29,0.24703496380859713,0.15609264853977844,0.2352354595466718,0.9283447320191319,0.0
2021-01-30,0.25735071576666657,0.16817724068479356,0.24299447625236692,0.9670108622770551,0.01244214998595261
2021-01-31,0.26568930550409153,0.18026183282980868,0.2547282383390662,0.9110008493138436,0.0375363281991099
2021-02-01,0.27341126954180184,0.18932527693857004,0.26719868684944714,0.8336238880693755,0.04645644442107777
2021-02-02,0.28277379736774366,0.1963746223564955,0.27781761548890216,0.8118099325018996,0.03161883655639386
2021-02-03,0.2940229735501517,0.20845921450151061,0.2892320534223707,0.8068928523534932,0.03725297799475058
2021-02-04,0.3032129593225037,0.21852970795568982,0.300167505125993,0.7771668678199454,0.04300042050478048
2021-02-05,0.3124086022113669,0.23262839879154074,0.3109797089108246,0.7493183138885163,0.07375814712722928
2021-02-06,0.32167495905661925,0.24471299093655585,0.3222989098161365,0.7145858477493182,0.09100281127290266
2021-02-07,0.33042368974110203,0.2517623363544814,0.33540240445485203,0.6434222877832908,0.08026181876546978
2021-02-08,0.3383379957401913,0.2608257804632427,0.3464190877413139,0.592284654239864,0.08703286721233461
2021-02-09,0.3477005235661331,0.27794561933534745,0.3558531557069389,0.5889320995932233,0.13336125183320835
2021-02-10,0.35771079123260086,0.2870090634441088,0.3642368152737785,0.612936390863171,0.1269128570109359
2021-02-11,0.3676814590834906,0.30513595166163143,0.37469608183661807,0.602789325466005,0.17419261097885386
2021-02-12,0.37703550123466567,0.31722054380664655,0.3842309890085266,0.5979169460462205,0.1889719396257732
2021-02-13,0.3844774380050745,0.3323262839879154,0.3942840976571691,0.5544231370971346,0.23230155499829674
2021-02-14,0.3934354820004695,0.3454179254783484,0.4084548072290507,0.4692682490724598,0.25439936958822784
2021-02-15,0.40226906943261953,0.35850956696878156,0.42215773492733977,0.3896115506682758,0.2768342526369816
2021-02-16,0.4114222839476491,0.37260825780463247,0.4323368925838367,0.3711948504760627,0.30266785100734417
2021-02-17,0.42118646704588203,0.3867069486404834,0.44233678054027414,0.36529435429797497,0.3244638291113944
2021-02-18,0.43050373793973473,0.4048338368580061,0.45194731711689506,0.35836574136158417,0.3706995160705784
2021-02-19,0.4393854108622295,0.42497482376636453,0.4641292534537429,0.3034285458852979,0.42967324342488844
2021-02-20,0.4483179978333245,0.4400805639476334,0.4761683342483558,0.2517992043270305,0.4599953361153233
2021-02-21,0.45468225390836037,0.45720040281973817,0.48648754635802416,0.18693844709668764,0.5156028020962617
2021-02-22,0.4606363690363384,0.47230614300100704,0.4958852001658246,0.13039202539001385,0.5621293770929876
